autor	název	originál	přečteno	originál vydáno	imglink	tagy	popis
Václav Smil	Jak se vyrábí dnešní svět	Making the Modern World	2021	2017	978-80-265-0673-7.jpg	socio-ekonomie, ekologie	Jaké úrovně ještě dosáhne spotřeba materiálů, kterou zvyšují bohaté společnosti? Současný svět je závislý na tocích materiálů. Dnes dokonce nemusí ani nejefektivnější výrobní procesy a nejdokonalejší způsoby recyklace stačit k tomu, aby se dosáhlo dematerializace v takovém rozsahu, že bude potlačen vliv rostoucí poptávky po materiálech způsobené pokračujícím populačním růstem a zvyšující se životní úrovní. Kolik nás tato závislost bude stát?
Peter Wohlleben	Tajný život stromů	Das geheime Leben der Bäume	2021	2015	978-80-9057-886-9.jpg	věda	Německý bestseller Tajný život stromů se již druhým rokem drží na žebříčku nejprodávanějších knih a získává si nadšené čtenáře ve stále více zemích. Les je pro mnohé z nás vytouženým místem odpočinku. Je synonymem ticha a nedotčené přírody.
David Szalay	Turbulence	Turbulence	2021	2019	978-80-7470-285-3.png	beletrie	Úspěšný byznysmen ze Senegalu, hongkongská žena v domácnosti, německý pilot nákladního letadla, indický zahradník v luxusní katarské rezidenci nebo matka dospělého Angličana léčícího se s rakovinou prostaty. Dvanáct lidí na palubě dvanácti různých dálkových letů obkrouží během několika desítek hodin celou Zemi.
Lingea	Ekvádor a Galapágy	Ekvádor a Galapágy	2021	2020	978-80-7508-446-0.jpg	cestopis	Nový podrobný průvodce celou zemí. Popisuje historii i současnost, starobylá města, písečné pláže, zasněžené sopky, amazonské deštné pralesy, Galapágy… Rozmanitost Ekvádoru je jedním z jeho největších lákadel.
Jan Rendl	10 000 kilometrů pěšky Jižní Amerikou	10 000 kilometrů pěšky Jižní Amerikou	2021	2021	978-80-7642-946-8.jpg	cestopis	Téměř třicetiletý prodavač a příležitostný cestovatel se rozhodne pěšky přejít Jižní Ameriku. Jak to může dopadnout? Vzdoruje jazykové bariéře, drogám v kolumbijských ulicích a všudypřítomné chudobě. Vydává se do nitra kontinentu, aby poznal nový svět i sám sebe.
Carmen Rohrbach	Nebe nad Andami	Der weite Himmel über den Anden	2021	2000	978-80-249-1026-0.jpg	cestopis	Carmen Rohrbachová, cestovatelka a úspěšná novinářka, poznává na své pouti ekvádorskými Andami obrovskou rozlehlost a opuštěnost velehor, vystoupá na několik sopek skrytých v mlžném hávu a nějakou dobu sdílí zdánlivě idylický každodenní život s indiánskou rodinou, jež žije ještě tradičním způsobem v naprosté shodě s přírodou. Autorka strávila v Ekvádoru půl roku a podařilo se jí podat působivou zprávu nejen o nádherné přírodě ekvádorské země, ale i jejích obyvatelích.
Jeremy Narby	Kosmický had	The Cosmic Serpent	2021	1998	80-87067-00-2.jpg	psychedelie, věda	V této knize, která od svého prvního vydání nepřestává budit zájem v řadě zemí světa, přináší Jeremy Narby zcela nový pohled na téma vědění a moudrosti původních přírodních národů Amazonie.
Pavel Šembera	Obchodníkem po Latinské Americe	Obchodníkem po Latinské Americe	2021	2018	978-80-86652-64-1.jpg	cestopis, socio-ekonomie	Zkušený cestovatel zúročil své nadšení pro Jižní Ameriku, znalost reálií i jazyků v profesním životě. Po studiích na VŠE od roku 2011 kontinent nesčetněkrát navštívil jako obchodník a úspěšně pomáhá českým produktům vstupovat na tamní, pro nás poněkud exotické trhy.
Daniel Kehlmann	Vyměřování světa	Die Vermessung der Welt	2021	2005	978-80-903815-2-0.jpg	cestopis, historie, věda, beletrie	Nevšední životopisný román s filosofickým podtextem věnovaný významným osobnostem německého přírodovědce a cestovatele Alexandra von Humbolta a matematika a astronoma Friedricha Gausse, které spojovala vášeň k neodhaleným záhadám přírodních věd.
Dana Trávníčková	Příběh Mexika, zemí Střední Ameriky a Karibiku	Příběh Mexika, zemí Střední Ameriky a Karibiku	2021	2017	978-80-905335-5-4.jpg	cestopis, historie	Od Mexika po karibské země leží nádherná kulturně a historicky provázaná část světa, která dodnes prožívá vzrušující příběh, v němž se osudy jednotlivých zemí prolínají a navzájem ovlivňují. Na území Mexika se zrodily fascinující vyspělé civilizace od Olméků až po Maye a Aztéky, ale nejen ony jsou mexickým pokladem. Jsou jimi i koloniální města, tvořící srdce dnešního Mexika, či unikátní přírodní a civilizační poklady Kalifornského poloostrova a severu Mexika.
Jeremy Narby	Plant Teachers: Ayahuasca, Tobacco, and the Pursuit of Knowledge	Plant Teachers: Ayahuasca, Tobacco, and the Pursuit of Knowledge	2021	2021	978-1608687732.jpg	psychedelie, šamanismus, duchovní	“The dose makes the poison,” says an old adage, reminding us that substances have the potential to heal or to harm, depending on their use. Although Western medicine treats tobacco as a harmful addictive drug, it is considered medicinal by indigenous people of the Amazon rainforest. In its unadulterated form, it holds a central place in their repertoire of traditional medicines.
Čhögjal Namkhai Norbu	Jóga snu a praxe přirozeného světla	Dream Yoga and the Practice of Natural Light.	2021	1992	80-85862-41-72.jpg	buddhismus, sny, duchovní	V knize dává autor pokyny k rozvíjení bdělého vědomí a přirozeného světla ve spánku a snění. Překračuje praxi lucidního snění, která se již stala na Západě populární, a uvádí metody snění řízeného, jež tvoří jednu ze složek rozsáhlého systému tradice dzogčhenu.
Martín Prechtel	Tajemství mluvícího jaguára	Secrets of the talking jaguar	2022	1998	80-7203-358-1.jpg	šamanismus, cestopis, biografie	Svědectví o životě v mayské indiánské vesnici v Guatemale v 70. a 80. letech 20. století. Autor knihy je po matce indián, proto má k indiánskému životu a kultuře velice blízko. Od počátku 70. let 20. stol. žil dlouhou dobu v Guatemale, v městečku mayského kmene Tzutuhilů.
Dale Pendell	Pharmako Gnosis	Pharmako Gnosis	2022	2005	978-80-86862-91-0.jpg	duchovní, věda, psychedelie,  filozofie, historie	Kniha o nevyzpytatelné moci rostlin a cestě jedů.
Dale Pendell	Pharmako Poeia	Pharmako Poeia	2022	1995	80-7207-212-9.jpg	duchovní, věda, psychedelie, filozofie, historie	Kniha o nevyzpytatelné moci rostlin a cestě jedů
Pico della Mirandola	O důstojnosti člověka	De dignitate hominis	2022	1486	80-7298-164-1.png	filozofie	Jeden ze stěžejních textů renesanční filosofie. Původně zahajovací řeč k disputaci nad 900 filosofickými tezemi, kterou třiadvacetiletý kníže z Mirandoly hodlal v r. 1486 svolat do Říma. Pikova řeč představuje jednu z nejvýraznějších filosofických proklamací lidské svobody v dějinách evropského myšlení vůbec. Zrcadlové latinsko české-vydání v překladu Davida Sanetrníka a s úvodní studií Tomáše Nejeschleby.
Henri Michaux	Ecuador	Ecuador	2022	1929	978-80-87705-63-6.jpg	cestopis, historie	Ecuador (1929) je cestovním deníkem muže, „který neumí ani cestovat, ani si vést deník“. Malíř a básník Henri Michaux (1899–1984) v něm popisuje své putování po Andách, Ekvádoru a brazilském vnitrozemí až k ústí řeky Amazonky. Tento první moderní cestopis je směsí přísného pozorování a smyslově vypjaté, až halucinogenní poezie a prózy.
Peter Aughton	Endeavour	Endeavour	2022	2006	80-7341-906-8.jpg	cestopis, historie	Kniha podrobně popisuje plavbu Cookovy lodě Endeavour, která odrazila od anglických břehů v srpnu roku 1767 s cílem objevit novou zemi, Terra Australis. Tento fakt však chtěla britská vláda před jinými státy utajit, proto prezentovala tuto výpravu jako výhradně vědeckou expedici. Cook se plavil přes dnešní Kanárské ostrovy a pak podél východního pobřeží Ameriky k Ohňové zemi. Obeplul obávaný mys Horn a před ním se rozevřel nekonečný Tichý oceán.
Hans Staden	Dvě cesty do Brazilie	Zwei Reisen nach Brasilien	2022	1557	80-85909-60-X.jpg	cestopis, historie	Cestopis německého mořeplavce o dvou námořních výpravách, konaných v letech 1547 až 1555 na pobřeží Brazilie. V první části líčí autor vlastní osudy, zvláště pak zážitky z indiánského zajetí, v druhé části pak způsob života kmene Tupinambá a uvádí některé cenné přírodopisné údaje. Prosté, avšak snahou po věcnosti a pravdivosti napsané dílo je doprovázeno původními dřevoryty z prvního vydání r. 1557.
Mnislav Zelený Atapana	Pokrokem k zániku	Pokrokem k zániku	2022	2017	978-80-257-2559-7.jpg	cestopis, biografie	Během svého působení nejen v Latinské Americe Mnislav Zelený Atapana publikoval řadu článků v různých novinách, časopisech či na internetových stránkách. Tato kniha přináší výběr těch nejzajímavějších, které vyšly v letech 1970–2016.
Bruce F. Lamb	Čaroděj z horní Amazonie: Příběh Manuela Córdoby-Riose	Wizard of the Upper Amazon	2022	1971	80-7203-108-2.jpg	cestopis, biografie, šamanismus, psychedelie	Příběh Manuela Córdovy-Riose Barvitý dokument o životě kmene amazonských Indiánů tak jak jej poznal peruánský sběrač kaučuku, který byl tímto kmenem unesen a „vychován“.
Francoise Bourzat	Medicína vědomí	Consciousness Medicine	2022	2019	978-80-7436-113-5.jpg	psychedelie, psychoterapie, duchovní	Srozumitelný průvodce k bezpečnému a etickému využívání rozšířených stavů vědomí pro terapeuty, léčitele a upřímné hledače. Psychedelické medicíny, známé též jako entheogeny, vstupují do obecného povědomí. A není to žádný div, navzdory tomu, že jsme obklopeni nejnovějšími trendy týkajícími se zdravého života, wellness a pokročilých technologií, nejsme zdravější, šťastnější ani smysluplněji napojeni na druhé.
Ilija Trojanow	Jak (ne)cestovat: Návod k použití	Gebrauchsanweissung fürs Reisen	2022	2018	978-80-7470-352-2.jpg	cestopis	Pěšky, nebo letadlem? Na vlastní pěst, nebo se zájezdem? Co vlastně hledáme, když navštěvujeme cizí země? Co nového chceme objevit, kolik jsme toho na sobě ochotni změnit, čeho jsme připraveni se vzdát? Německý spisovatel Ilija Trojanow žil na čtyřech kontinentech a procestoval přes sto zemí světa. Na základě svých zážitků a zkušeností píše o smyslu a přínosu cestování, přičemž ve svém textu propojuje fundované pojednání o historii cestování s vtipnými historkami z vlastních cest. Ve dvanácti kapitolách se zamýšlí nad tím, co je esencí cestování, jak cesty do cizích zemí můžou (ale nemusí) proměnit náš pohled na svět, a jak se masový turismus nesprávně chápe jako cestování.
Anna Hogenová	Žít z vlastního pramene	Žít z vlastního pramene	2022	2019	978-80-7530-164-2.jpg	filozofie	Žít z vlastního pramene znamená být usebrán, být u sebe. V tomto "u sebe" je zároveň přítomný celek, bytí, které prožíváme a ze kterého vždy poprvé a naposled žijeme. Otevírá se tady to vzácné, podstatné a posvátné. Vždyť nakonec bytí, otevřenost a pravdivost v životě nebo láska poukazují na totéž. Kniha rozhovorů s Annou Hogenovou je knihou o životě a živé filosofii, knihou o podstatném v životě.
Dane Rudhyar	Astrologie transformace	The Astrology of Transformation	2022	1980	80-86018-06-7.jpg	astrologie, duchovní, filozofie	Astrologie transformace má v Rudhyarově díle význam astrologické závěti. Je vyvrcholením čtyřiceti pěti letého hledání - oslnivý závěr Rudhyarova astrologického díla - tečka za jeho celoživotním studiem hvězd a lidské povahy.
Rudolf Starý	Starožitnosti 2	Starožitnosti 2	2022	2021	978-80-86270-31-9.jpg	astrologie, psychologie, jung	Případ JUNGIANA,  Archeologie, Vlk pohlazený Bohem, Pohádka o Pištivrátkovi, Dvojí, a přece jediná cesta, Gödelova aporie, Stvořitel versus stvoření, Jungova "osobní rovnice", Několik poznámek k Jungově červené knize, z dopisů o Karkulce, James Hillman: Nová vize psychologie, Corbinův "mundus imaginalis", Jungisté, Jungovo "Svébytí", Z korespondence W. Pauliho s C. G. Jungem, Logos/Mythos,  Scientia Crucis, Makro/mikrokosmos, K fenomenologii současné pandemie, "Krétský lhář" a kvantová fyzika, Wolfgang Pauli o Keplerovi, Marsilio Ficino: O životě podle nebes, Několik poznámek k tématu "Jungova Anima", K fenomenologii dominantních faktorů v horoskopu
Dale Pendell	Pharmako/ Dynamis: Moc rostlin a cesta jedů	Pharmako/Dynamis: stimulating plants, potions and herbcraft	2022	2002	80-86862-06-2.jpg	duchovní, věda, psychedelie, filozofie, historie	Dočtete se o stimulantech, resp. excitantech (Káva » Čaj » Kakao » Maté » Kola » Betel » Efedra » Kata » Koka » Amfetamin) a empatogenech (Muškát » Extáze » GHB). Čekal jsem něco jiného... „Cesta jedů“ není cesta pro každého, čtenář v knize nabyde „nebezpečné znalosti“, ty jsou však bezpečnější, než „nebezpečná neznalost“. Nakonec vám nezbyde, než se zamyslet nad otázkou propojení stimulantů a kapitalismu. Co? Ale jak říkal kdysi už Paracelsus „Všechno je jed, Nic je jed. Záleží na množství. Dílem alchymisty ale je, oddělit jed od stromu poznání“.
Vaclav Smil	Čísla nelžou	Numbers Don't Lie. 71 Things You Need to Know About the World	2022	2020	978-80-7662-220-3.png	socio-ekonomie, ekologie, historie	71 tematických kapitol přináší kromě nových informací a fascinujících příkladů z energetiky, dopravy či ekologie také odpovědi na otázky typu: Proč elektrická auta zatím nejsou šetrná k životnímu prostředí? Proč je těžké předpovědět, jak zlá bude probíhající pandemie? A jak lidstvo a vynálezy moderního světa ovlivňují život na naší planetě?
Nancy Clark	Sportovní výživa	Sports Nutrition Guidebook	2022	2020	978-80-271-1030-8.jpg	osobní rozvoj, body	Kniha je určena sportovcům i nesportovcům a je cenná i pro osoby pokoušející se o úpravu tělesné váhy. Doporučení jsou snadno srozumitelná a lehce aplikovatelná. 
Jakub Hlaváček	Cestami zelených mužů	Cestami zelených mužů	2022	2010	978-80-86702-78-0.jpg	historie, mytologie, art-design, duchovní	Soubor studií a reflexí zabývajících se tématem „Zelených mužů“ nejenom ve středověkých plastikách středověké sakrální architektury a jejich výskytem na našem území. Interpretace těchto lidí-rostlin se zdaleka neomezuje na archetyp přírodní plodivé síly
Stephen LaBerge	Lucidní snění	Lucid dreaming	2022	2021	978-80-262-1882-1.jpg	psychologie, sny	Sny nás nemusejí jen bavit, děsit či jako bezvládné bytosti vést do míst, kde nad sebou nemáme kontrolu. Využít jejich hlubší potenciál pro osobní růst, vyšší sebevědomí a snazší řešení tvůrčích problémů nám pomůže lucidní snění. Stephen LaBerge se bdělým (lucidním) sněním zabývá a shrnuje deset let výzkumů v Centru pro výzkum spánku na Stanfordově univerzitě. 
Gurdzijev	Meetings with Remarkable Men	Meetings with Remarkable Men	2022	1963	0140190376.jpg	duchovní, biografie, gurdžijev, en	The Armenian-Greek spiritual teacher, G.I. Gurdjieff's autobiographical account of his youth and early travels has become something of a legend since it was first published in 1963. A compulsive read in the tradition of adventure narratives, but suffused with Gurdjieff's unique perspective on life, it is organized around portraits of remarkable men and women who aided Gurdjieff's search for hidden knowledge or accompanied him on his journeys in remote parts of the Near East and Central Asia. A classic work, suffused with a haunting sense of what it means to live fully - with conscience, with purpose and with heart.
Dale Pendell	Velký záliv	The Great Bay: Chronicles of the Collapse	2022	2010	978-80-7438-177-5.jpg	scifi-fantasy, beletrie	Velký záliv, novela amerického básníka a etnobotanika Dalea Pendella, je dystopickým, a přesto optimistickým pohledem na svět po zhroucení civilizace, tak jak ji dnes známe. Poté co dojde ropa, lidstvo zdecimují epidemie a potopy a nastane oteplení prostřídané novými dobami ledovými, poté co vymře většina světové populace, musí nečetní přeživší napnout veškeré síly k přežití a pod nánosy trosek vyhledávat pohřbené zbytky vědomostí. Ke slovu se dostanou hluboko ve vědomí zasuté pradávné mýty, šamanská moudrost a léčitelství přírodních národů. Jaký osud bude mít nešťastné lidstvo? Dojde k vytvoření civilizace podobné té naší, nebo vznikne něco úplně nového, neméně vzrušivé, ba lepší uspořádání?
Liz Greene	Duše a vesmír	Relating	2022	1977	80-901898-1-4.jpg	astrologie	Psychoterapeutka a astroložka podává v díle rozbor základních stránek vztahů mezi lidmi, objasňuje Jungovou typologii, archetypy apod. a uvádí je do souvislosti s astrologickou symbolikou. Ukazuje důsledky archetypů v individuálním horoskopu pro vztah rodičů a dětí a pro partnerský a sexuální život.
Ignác z Loyoly	Souborné dílo		2022	1548	80-86715-42-6.jpg	duchovní, biografie, křesťanství	Duchovní cvičení, Vlastní životopis a Duchovní deník. Kvůli velikému zájmu o základní prameny ignaciánské spirituality – Duchovní cvičení, Vlastní životopis a Duchovní deník zakladatele jezuitů Ignáce z Loyoly – podáváme tuto trojici v ucelené a revidované podobě.
Vaclav Smil	Velké proměny	Grand Transitions: How The Modern World Was Made	2022	2021	978-80-7662-406-1.jpg	socio-ekonomie, ekologie, historie	Demografie, zemědělství, energie a hospodářství – to jsou čtyři „velké civilizační přechody“, jež zcela proměnily náš způsob života. Ačkoli jimi mnoho společností prošlo, na Zemi stále žijí stovky milionů lidí, kteří jsou tímto vývojem nedotčeni. Co to pro planetu znamená a kam tato nerovnováha lidstvo v blízké budoucnosti zavede? Mezinárodně uznávaný vědec Václav Smil představuje největší výzvy současnosti, které už nyní formují podobu našeho světa.
Olga Vilímková	Mayové	Mayové	2022	2014	978-80-87049-77-8.jpg	historie	Kniha představuje vývoj společnosti Mayů v Guatemale ve druhé polovině 20. století a v současnosti. Podrobně popisuje situaci indiánů v době ozbrojeného konfliktu v zemi mezi vládami vojenských diktatur a levicovou opozicí (1960-1996), kdy došlo ke genocidě Mayů. Dále se věnuje současné situaci, kterou lze charakterizovat jako období revitalizace indiánské identity. Velký prostor zaujímají popisy typických oděvů, obydlí, každodenních aktivit, duchovních tradic, představení mayských kalendářů a posvátných textů. Věnuje se také pojetí výchovy a vzdělání podle Mayů, postavení žen i kultuře. V příloze jsou porovnány duchovní tradice Mayů v Guatemale s Inky v Andách Peru. Texty jsou doplněny bohatým obrazovým materiálem.
Ruth Sheppard	Freud	Freud	2022	2020	978-80-242-6779-1.jpg	historie, biografie, psychologie	Unikátní kniha o Sigmundu Freudovi. Nejen, že je shrnut jeho život, základní objevy na poli psychologie a neurologie, ale i záznamy jeho deníků či posledních poznámek před smrtí. Součástí publikace jsou známé i méně známé fotografie z rodinného archivu.
Zuzana Marie Kostićová	Náboženství Mayů	Náboženství Mayů	2023	2018	9788024639925.jpg	historie, religionistika	Syntetizující práce Zuzany Marie Kostićové podává souborný, srozumitelný a aktuální přehled světového bádání týkajícího se mayského náboženství a fenoménů, které s ním bezprostředně souvisejí. Zdůrazňuje jeho regionální a partikulární charakter a snaží se uvést na pravou míru některá východiska a dosud nereflektované omyly, které se zabydlily ve světové mayistice.
Markéta Křížová	Mayové	Mayové	2023	2011	9788086493251.jpg	historie, religionistika	Mayové vytvořili nejkomplexnější a nejsofistikovanější kulturu Nového světa. Rozvíjeli matematiku a astronomii, umění ve formě realistických kamenných plastik a nástěnných maleb, užívali nejdokonalejší formy písma ze všech indiánských kultur. V době příchodu Španělů byla však již mayská kultura za svým zenitem. Mnoho měst bylo opuštěno a jejich...
Jan Kapusta	Oběť pro život	Oběť pro život	2023	2020	978-80-257-3344-8.jpg	religionistika, filozofie	Kniha se zabývá náboženským světem současných Mayů obývajících Guatemalskou vysočinu. Zaměřuje se na mayskou kosmologii a pojetí božstev, vztah k přírodě a horám, obětní a poutní rituály a jejich existenciální ukotvení. Pozornost je také věnována mayskému kulturnímu obrození a s ním spjatým dynamickým a kreativním míšením původní lokální mayské tradice a současného globálního spirituálního diskursu. Práce si tak všímá jak procesu reprezentace, exotizace a romantizace „druhých“, tak procesu hledání identity a autenticity v dnešním komplikovaném a proměnlivém světě. Kniha podává svěží pohled na současnou situaci domorodých, šamanistických a animistických kultur, ale i na některé teoretické problémy a témata soudobé antropologie náboženství.
William Walker Atkinson	Kybalion	Kybalion	2023	1908	978-80-89227-74-7.jpg	hermetismus, filozofie, duchovní	Dílo, jenž je pilířem hermetizmu. Jedná se o fragmenty učení pocházející z dob velkého Herma Trismegista, který údajně žil ve starém Egyptě jako současník Abraháma. Rozebírá se zde podstata hermetické filozofie a sedm zákonů, které jsou základem veškerých okultních či ezoterických nauk.
Vaclav Smil	Jak svět doopravdy funguje	How the World Really Works	2023	2022	978-80-7662-459-7.png	socio-ekonomie, ekologie, věda	Lidstvo ještě nikdy ve své historii nemělo tolik informací, přesto si jen málokdo uvědomuje, jak svět ve skutečnosti funguje. Oceňovaný vědec českého původu Vaclav Smil popisuje a objasňuje složité procesy s neuvěřitelnou lehkostí. Zabývá se sedmi základními principy moderní společnosti, počínaje energiemi přes globalizaci až po výzvy čekající v budoucnosti. Abychom mohli začít řešit problémy, musíme nejdříve pochopit základní fakta. S touto fascinující publikací to bude mnohem snazší.
Jason Fried, David H. Hansson	Restart: Průvodce podnikatelským minimalismem	Rework	2023	2010	978-80-87270-04-2.jpg	socio-ekonomie, osobní rozvoj, it	Provokativní, minimalistická a mimořádně poučná příručka zakladatelů známé americké firmy 37signals, proslavené úspěšnou webovou aplikací Basecamp a dalšími projekty, vás přinutí přehodnotit všechno, co jste se dosud dozvěděli o podnikání. Jak říká slavný guru marketingu Seth Godin: Tuto knihu můžete přehlížet jen na vlastní nebezpečí.
Tomáš Halík	Odpoledne křesťanství	Odpoledne křesťanství	2023	2021	978-80-7422-824-7.png	religionistika	Kniha Odpoledne křesťanství pojednává o proměnách víry v lidských životech i v dějinách a využívá k tomu metodu kairologie – teologicko-sociologické interpretace změn v oblasti náboženství, kultury a společnosti. Současnou krizi církve představuje autor jako přechod do nové etapy dějin křesťanství. Hledá cestu, která by křesťanství vyvedla z jeho dosavadních institucionálních i mentálních hranic, pomohla mu překonat nostalgii po jeho premoderní podobě i jeho novověkou formu jednoho ze světonázorů. Předkládá vizi křesťanství budoucnosti jako ekumenického společenství, schopného nově a hlouběji porozumět vlastním zdrojům i aktuálním problémům doby.
Dane Rudhyar	Astrologie osobnosti	The Astrology of Personality	2023	1936	978-80-87908-61-7.png	astrologie, filozofie, duchovní	Astrologie osobnosti je prvním svazkem rodící se edice díla Danea Rudhyara (1895-1985), filosofa, hudebního skladatele a především zakladatele moderní, humanistické a transpersonální astrologie. Kniha s podtitulem „Reformulace astrologických pojmů a myšlenek z hlediska současné psychologie a filosofie“ vychází v překladu Jindřicha Veselého, který je rovněž autorem průvodní studie. Rudhyar ve své Astrologii osobnosti (1936) čerpá z klasické astrologie obohacené o nové vědecké objevy, z psychologie, holistické filosofie a z vlastní interpretace teosofie a dalších esoterních a náboženských směrů. Úvod napsala astroložka Martina Lukášková.
Fragment (ČR)	Baba Jaga a další ruské pohádky	Russkie narodnye skazki	2023	2019	978-80-253-4456-9.png	mytologie	Národní pohádky patří do světového literárního fondu a ty ruské se řadí mezi nejkrásnější. Přečtěte si výbor pětadvaceti pohádek v novém moderním překladu s nádhernými ilustracemi od Olgy Zakis. Baba Jaga, Kostěj Nesmrtelný, Žabka carevna, Krásná Vasilisa a mnoho dalších lidových příběhů.
Sadhguru	Karma - Jogínův průvodce vaším osudem	Karma: A Yogi's Guide to Crafting Your Destiny	2023	2021	978-80-8111-604-9.jpg	duchovní, jóga	Slovo karma zná snad každý. Ale víte, co skutečně znamená? Většina z nás jím označuje bilancování svých dobrých a špatných skutků. Vnímáme ji jako jakýsi obří mechanismus, který nám počítá naše životní skóre a za vše se nám odvděčuje. Karma je však něco úplně jiného. Karma znamená čin, vaše činy a vaši odpovědnost. Nepovažujte ji za duchovní variaci na Zločin a trest. Jde jednoduše o záměr a způsob, jakým reagujete na svou aktuální životní situaci. Je to váš vnitřní cyklus. V knize Karma se vás světoznámý duchovní mistr Sadhguru pokouší přeměnit z přihlížejícího na aktivního hybatele vlastního osudu. Žijte naplno, buďte přítomni v každém okamžiku, jen tak se osvobodíte od svého škodlivého vnitřního cyklu. Sadhguru vám nabízí návod, jak obnovit vaše chápání karmy v jejím původním významu svobody a vnitřního posílení. Naučí vás, jak žít upřímně a radostně v tomto náročném světě.
Peter Frankopan	Nové hedvábné stezky	The New Silk Roads	2023	2018	978-80-7601-811-2.jpg	historie, socio-ekonomie	„Všechny cesty kdysi vedly do Říma. Dnes vedou do Pekingu.“ Svět se mění a je provázaný více než kdy v dějinách. Peter Frankopan, přezdívaný „rocková hvězda mezi historiky“, nabízí svěží pohled na síť vztahů vznikající podél někdejší Hedvábné stezky. Na východ od Evropy přes Rusko, Blízký Východ, Indii a Střední Asii až po Čínu se utvářejí nová mocenská centra – a v titulcích západních médií se o nich často nedočtete. Tato publikace jasně a s bravurou objasňuje témata, na nichž záleží budoucnost nás všech.
kolektiv	Pojetí duše v náboženských tradicích světa	Pojetí duše v náboženských tradicích světa	2023	2007	978-80-86685-82-3.jpg	duchovní, religionistika, historie	Znají všechny kultury pojem duše? Je nesmrtelnost duše typickou náboženskou představou? Jak se různá náboženství vyrovnávají se vztahem duše a těla? Toto publikace se na tyto otázky pokouší odpovědět nikoli z pohledu obecných teorií, nýbrž na základě rozborů pojetí duše v různých tradicích: v náboženství starých Řeků, Germánů a Egypťanů, v monoteistických systémech (judaismus, křesťanství, islám), stejně jako v některých indických náboženských proudech (védismus, džinismus, buddhismus).
Gurdzijev	Belzebubs tales to his grandson, 1	Belzebubs tales to his grandson, 1	2023	1950	0-919608-16-7.jpg	duchovní, en	The book was intended to be the main study tool for Gurdjieff's Fourth Way teachings. As Gurdjieff's idea of "work" is central to those teachings, Gurdjieff went to great lengths in order to increase the effort needed to read and understand it. Gurdjieff himself once said, “I bury the bone so deep that the dogs have to scratch for it."[2] The book covers many topics. It is an allegory and myth in a literary form all its own.[3] In his prospectus for All and Everything, printed at the beginning of each part of the trilogy, Gurdjieff states his aim in the first volume of "destroy[ing], mercilessly, without any compromises whatsoever, in the mentation and feelings of the reader, the beliefs and views, by centuries rooted in him, about everything existing in the world." 
Sadhguru	Vnitřní inženýrství	Inner Engineering	2023	2016	978-80-8111-461-8.jpg	duchovní, jóga	Indický jogín a mystik s velice moderním a mladistvým náhledem na svět a velkým smyslem pro humor popisuje svou vlastní cestu k osvícení a vysvětluje, jak můžeme odemknout obrovský potenciál svých skrytých možností. Velmi osobitým, jasným a věcným způsobem ukazuje západnímu čtenáři, jak poznat, ovládnout a využít vnitřní síly ducha v běžném, každodenním životě nehledě na to, zdali žijeme v rušném velkoměstě či horské vesnici. Kniha Vnitřní inženýrství je souhrn tisíce let starých indických učení podaný srozumitelně a vtipně člověku 21. století.
Egon Bondy, Jiří Holba (ed.), Petr Kužel (ed.) 	Indická filosofie: Poznámky k dějinám filosofie I	Indická filosofie: Poznámky k dějinám filosofie I	2023	2021	978-80-7436-117-3.jpg	filozofie, jóga, buddhismus	Kniha představuje v češtině nejmodernější systematické zpracování dějin indické filosofie od jejich počátků až po období novověku. Přes svou nespornou erudovanost je psána přístupně a čtivým jazykem. Oproti původnímu vydání je doplněna současnou odbornou literaturou a bohatým poznámkovým aparátem, který vychází ze stavu současného indologického...
Walter Demel	Dějiny světa 4	WBG Weltgeschichte 4	2023	2010	978-80-7429-385-6.webp	historie	Globální dějiny od počátků do 21. století. Sv. 4 - Objevy a nové struktury, 1200 až 1800. Čtvrtý svazek šestidílných Dějin světa nás opět přivádí trochu blíž současnosti. Nejen časově, ale především díky lepšímu porozumění základům naší doby samotné. První část knihy věnovaná „demografii, technice a hospodářství“ se soustředí na rozvoj dálkového obchodu, k němuž docházelo od 12. století. V jeho pozadí stály nové teoretické poznatky i pozoruhodné výdobytky techniky, jaké nacházíme například v oblasti navigace. Objevitelské cesty do vzdálených koutů země přispívaly k rozšíření stávajícího vědění. V tomto rámci dochází ke střetu křesťanské misie s jinými náboženstvími, jež bude mít osudové důsledky pro nově nalezený „Nový svět“. Expanze vědění je již nezastavitelná. Školy a univerzity se stávají zprostředkovatelkami nových představ a názorů a přispívají k rozvoji nových politických idejí (část „Vláda a politické ideje“). Rostoucí sebevědomí člověka konečně vede k proměně pevně skloubené náboženské soustavy, jak ukazuje část „Kultura, náboženství a socializace“. Jádro předkládaného svazku spočívá tedy na nových objevech a nových strukturách, jež se rozvinuly zhruba mezi lety 1200 a 1800.
